,id,yr_sold,garage_area,year_built,full_bath,year_remod/add,fireplaces,overall_cond,lot_area,lot_frontage,neighborhood,bldg_type,kitchen_qual,saleprice
0,109,2010,475,1976,2,2005,0,8,13517,0,Sawyer,1Fam,Gd,130500
1,544,2009,559,1996,2,1997,1,5,11492,43,SawyerW,1Fam,Gd,220000
2,153,2010,246,1953,1,2007,0,7,7922,68,NAmes,1Fam,Gd,109000
3,318,2010,400,2006,2,2007,0,5,9802,73,Timber,1Fam,TA,174000
4,255,2010,484,1900,2,1993,0,8,14235,82,SawyerW,1Fam,TA,138500
5,138,2010,578,1966,2,2002,1,6,16492,137,NAmes,1Fam,Gd,190000
6,2827,2006,525,2005,2,2006,0,5,3675,35,Edwards,TwnhsE,TA,140000
7,145,2010,531,1959,1,1959,0,5,12160,0,NAmes,1Fam,TA,142000
8,1942,2007,420,1952,1,1952,0,5,15783,0,OldTown,1Fam,TA,112500
9,1956,2007,504,1969,1,1969,2,5,11606,70,NAmes,1Fam,Fa,135000
10,1044,2008,264,1971,1,1971,0,5,1680,21,BrDale,Twnhs,TA,85400
11,2752,2006,632,2005,2,2005,0,5,7488,64,CollgCr,1Fam,Gd,183600
12,807,2009,576,1880,1,2007,1,7,26400,120,SawyerW,1Fam,TA,131000
13,1177,2008,480,1999,2,2000,0,5,2645,24,Somerst,Twnhs,Gd,200000
14,1480,2008,610,2007,2,2007,0,5,9627,74,CollgCr,1Fam,Gd,193000
15,324,2010,624,2004,2,2005,0,5,10114,93,Mitchel,1Fam,Gd,173500
16,1311,2008,513,1916,1,1950,0,5,4571,34,OldTown,1Fam,TA,98000
17,770,2009,480,1963,1,1963,0,6,8816,80,Sawyer,1Fam,TA,139000
18,2063,2007,528,1977,1,1977,1,5,8197,71,Sawyer,1Fam,TA,143500
19,69,2010,614,2009,2,2009,0,5,8640,72,Somerst,1Fam,Gd,215200
20,2062,2007,450,1968,1,1968,1,5,8724,109,Sawyer,1Fam,TA,129000
21,351,2009,499,2000,2,2000,1,5,5664,40,StoneBr,TwnhsE,Ex,278000
22,2393,2006,575,2005,2,2006,1,5,12867,103,NridgHt,1Fam,Ex,344133
23,12,2010,420,1992,2,2007,0,7,7980,0,Gilbert,1Fam,TA,185000
24,2339,2006,572,1955,1,1955,0,5,34650,100,Gilbert,2fmCon,TA,145000
25,624,2009,530,1961,2,1961,1,6,10573,92,NAmes,1Fam,TA,187500
26,86,2010,336,1965,1,2009,1,8,8450,65,Sawyer,1Fam,TA,138500
27,1534,2008,240,1937,2,1995,1,6,11700,0,Crawfor,1Fam,Gd,198000
28,2243,2007,0,1895,2,2006,0,6,8250,75,IDOTRR,2fmCon,TA,119600
29,1957,2007,576,1949,1,2006,1,7,8064,60,NAmes,1Fam,TA,122900
30,380,2009,542,1981,2,1981,1,5,9600,80,NWAmes,1Fam,Gd,278000
31,2860,2006,400,1929,1,1950,2,7,11435,0,Crawfor,1Fam,Gd,230000
32,2517,2006,481,1995,1,1996,1,5,9549,30,Veenker,TwnhsE,Ex,270000
33,1933,2007,410,1952,1,1952,0,6,10950,60,NAmes,1Fam,TA,125000
34,820,2009,826,2007,2,2008,1,5,10637,79,CollgCr,1Fam,Gd,297000
35,675,2009,384,1958,1,1958,1,6,9000,80,NAmes,1Fam,TA,113500
36,2910,2006,336,1977,2,1977,1,6,2665,41,MeadowV,TwnhsE,TA,127000
37,21,2010,546,1977,2,1977,1,6,11751,105,NWAmes,1Fam,TA,190000
38,1873,2007,528,1973,1,1973,1,6,9600,80,NWAmes,1Fam,TA,175500
39,2125,2007,384,1994,1,1994,0,7,8428,60,CollgCr,1Fam,TA,146000
40,1489,2008,276,1965,1,1965,0,6,9937,75,Edwards,1Fam,TA,147500
41,2383,2006,850,2006,2,2006,1,5,13891,107,NridgHt,1Fam,Ex,465000
